Rank,Rank100,Rank300,Rank500,Player,@001nic2nÏco3vöe,Age,Points,TournamentPlayed,Weightkg,Heightcm,Win,Lose,Prizemoney,Aces,DoubleFaults,@1stServe,@1stServePointsWon,@2ndServePointsWon,BreakPointsFaced,BreakPointsSaved,ServiceGamesPlayed,ServiceGamesWon,TotalServicePointsWon,@1stServeReturnPointsWon,@2ndServeReturnPointsWon,BreakPointsOpportunities,BreakPointsConverted,ReturnGamesPlayed,ReturnGamesWon,ReturnPointsWon,TotalPointsWon,VAR00001
145,2,1,1,Yosuke Watanuki,3,24,381,20,70.0,180,3,4,92580,34,23,.49,.77,.49,19,.68,42.000,.86,.63,.30,.50,18,.50,42.000,.21,.38,.51, 
146,2,1,1,Manuel Guinard,3,27,380,29,82.0,198,4,5,213430,35,28,.63,.64,.46,107,.67,112.000,.69,.57,.31,.53,73,.40,112.000,.26,.39,.48, 
147,2,1,1,John Millman,3,33,378,24,79.0,183,9,17,503278,94,39,.63,.66,.57,183,.60,325.000,.78,.63,.26,.47,148,.34,322.000,.16,.34,.49, 
148,2,1,1,Stan Wawrinka,3,37,377,15,81.0,183,8,14,525516,168,39,.56,.74,.53,166,.67,296.000,.81,.65,.26,.45,120,.37,296.000,.15,.33,.49, 
149,2,1,1,Filip Misolic,3,21,376,17,75.0,180,5,2,142688,19,18,.54,.67,.51,49,.63,63.000,.71,.60,.34,.46,44,.39,64.000,.27,.39,.49, 
150,2,1,1,Jan-Lennard Struff,3,32,375,19,92.0,193,8,13,398905,161,61,.57,.75,.52,101,.62,207.000,.82,.65,.24,.49,87,.30,212.000,.12,.32,.49, 
151,2,1,1,Juan Manuel Cerundolo,3,21,370,18,76.0,183,3,5,212248,10,20,.65,.61,.48,67,.57,84.000,.65,.57,.28,.50,38,.45,86.000,.20,.36,.46, 
152,2,1,1,Nicolas Jarry,3,27,370,20,90.0,198,5,9,207943,136,25,.65,.81,.49,50,.64,138.000,.87,.70,.21,.39,45,.16,139.000,.05,.27,.48, 
153,2,1,1,Mattia Bellucci,1,21,370,29,72.0,178,0,0,46944,,,,,,,,,,,,,,,,,,, 
154,2,1,1,Alexander Shevchenko,3,22,369,33,75.0,185,0,3,141001,8,7,.59,.55,.46,30,.60,28.000,.57,.51,.24,.49,11,.36,28.000,.14,.33,.43, 
155,2,1,1,James Duckworth,3,30,363,25,82.0,182,7,15,510132,170,56,.55,.72,.51,159,.57,307.000,.78,.63,.22,.50,124,.41,304.000,.17,.33,.48, 
156,2,1,1,Gijs Brouwer,3,26,360,24,73.0,191,3,2,189804,17,10,.67,.74,.48,26,.65,60.000,.85,.65,.32,.46,36,.39,61.000,.23,.38,.51, 
157,2,1,1,Leandro Riedi,3,20,360,20,78.0,191,0,1,50433,3,7,.60,.69,.48,8,.50,18.000,.78,.60,.36,.44,10,.40,18.000,.22,.38,.50, 
158,2,1,1,Aleksandar Kovacevic,3,24,360,27,79.0,183,3,1,117323,41,8,.62,.80,.43,31,.74,54.000,.85,.66,.28,.49,28,.43,53.000,.23,.35,.51, 
159,2,1,1,Maximilian Marterer,3,27,354,25,78.0,188,1,3,309663,25,10,.59,.69,.49,38,.58,65.000,.75,.61,.14,.40,16,.38,65.000,.09,.25,.45, 
160,2,1,1,Alexandre Muller,0,25,351,29,75.0,183,0,0,126696,,,,,,,,,,,,,,,,,,, 
161,2,1,1,Giulio Zeppieri,3,21,350,27,82.0,183,3,4,194502,38,13,.61,.71,.51,51,.65,86.000,.79,.63,.26,.45,47,.28,87.000,.15,.33,.48, 
162,2,1,1,Zsombor Piros,0,23,349,20,68.0,180,1,2,135495,,,,,,,,,,,,,,,,,,, 
163,2,1,1,Liam Broady,3,28,348,23,78.0,183,5,7,431626,55,30,.63,.67,.51,102,.58,178.000,.76,.61,.26,.45,80,.39,171.000,.18,.33,.48, 
164,2,1,1,Rinky Hijikata,3,21,344,31,72.0,178,1,3,211127,17,10,.56,.68,.46,25,.56,40.000,.73,.59,.28,.37,9,.56,43.000,.12,.31,.45, 
165,2,1,1,Carlos Taberner,3,25,343,27,78.0,183,5,11,359175,27,70,.63,.66,.44,136,.60,173.000,.68,.58,.29,.48,85,.48,177.000,.23,.36,.48, 
166,2,1,1,Felipe Meligeni Alves,3,24,343,26,78.0,185,0,2,122859,1,1,.61,.48,.19,7,.14,7.000,.14,.37,.32,.39,4,.50,8.000,.25,.35,.36, 
167,2,1,1,Ryan Peniston,3,27,340,22,75.0,180,5,4,253656,48,27,.65,.70,.50,58,.60,114.000,.80,.63,.28,.52,61,.36,116.000,.19,.36,.50, 
168,2,1,1,Ricardas Berankis,3,32,339,12,77.0,175,11,10,447332,41,45,.61,.70,.49,109,.52,207.000,.75,.62,.26,.47,80,.40,205.000,.16,.34,.48, 
169,2,1,1,Alexander Ritschard,3,28,335,24,82.0,193,2,3,216237,13,15,.56,.71,.46,35,.60,58.000,.76,.60,.28,.50,43,.23,58.000,.17,.36,.48, 
170,2,1,1,Geoffrey Blancaneaux,3,24,335,33,75.0,180,0,3,210113,19,4,.67,.68,.36,24,.42,39.000,.64,.57,.26,.46,19,.37,39.000,.18,.33,.45, 
171,2,1,1,Flavio Cobolli,3,20,335,30,71.0,173,0,3,211372,5,4,.66,.56,.42,26,.42,32.000,.53,.52,.31,.45,22,.36,34.000,.24,.36,.44, 
172,2,1,1,Henri Laaksonen,3,30,334,23,78.0,185,5,15,435922,76,42,.57,.65,.46,164,.57,208.000,.66,.57,.24,.47,85,.33,208.000,.13,.33,.45, 
173,2,1,1,Fabian Marozsan,1,23,328,21,75.0,193,0,0,32476,,,,,,,,,,,,,,,,,,, 
174,2,1,1,Enzo Couacaud,3,27,327,26,78.0,183,0,2,233056,30,10,.61,.72,.60,21,.62,53.000,.85,.67,.22,.39,11,.55,53.000,.11,.28,.48, 
175,2,1,1,Otto Virtanen,0,21,321,23,82.0,191,1,2,44256,,,,,,,,,,,,,,,,,,, 
176,2,1,1,Facundo Mena,3,30,321,27,81.0,183,0,1,144613,3,2,.54,.79,.48,7,.71,10.000,.80,.65,.36,.36,6,.17,11.000,.09,.36,.50, 
177,2,1,1,Juan Pablo Ficovich,3,25,321,31,78.0,191,1,1,115492,4,1,.73,.64,.50,10,.60,18.000,.78,.60,.26,.44,4,.75,19.000,.16,.33,.47, 
178,2,1,1,Emilio Nava,3,21,320,25,79.0,185,1,4,188959,33,25,.60,.68,.39,51,.53,66.000,.64,.56,.27,.40,22,.32,67.000,.10,.32,.44, 
179,2,1,1,Benoit Paire,3,33,317,28,80.0,196,4,22,612069,193,202,.50,.73,.40,254,.56,341.000,.67,.57,.29,.46,173,.35,346.000,.17,.35,.46, 
180,2,1,1,Dennis Novak,3,29,316,24,81.0,183,2,5,224264,31,13,.65,.68,.48,37,.49,66.000,.71,.61,.28,.49,32,.28,67.000,.13,.35,.47, 
181,2,1,1,Andrea Pellegrino,1,25,316,25,81.0,185,0,0,116874,,,,,,,,,,,,,,,,,,, 
182,2,1,1,Renzo Olivo,3,30,315,26,73.0,178,0,1,150183,0,5,.61,.57,.37,6,.33,8.000,.50,.49,.17,.24,0,.00,8.000,.00,.20,.36, 
183,2,1,1,Antoine Bellier,3,26,309,28,83.0,196,4,2,110873,49,33,.65,.78,.43,37,.76,67.000,.87,.66,.27,.48,32,.38,65.000,.18,.34,.51, 
184,2,1,1,Tung-Lin Wu,3,24,307,21,81.0,188,3,2,111104,6,3,.67,.64,.64,7,.57,16.000,.81,.64,.28,.57,11,.18,17.000,.12,.37,.49, 
185,2,1,1,Oleksii Krutykh,0,22,307,27,78.0,185,1,0,38552,,,,,,,,,,,,,,,,,,, 
186,2,1,1,Damir Dzumhur,3,30,304,23,68.0,175,5,4,154449,17,14,.62,.63,.49,34,.35,67.000,.67,.58,.32,.49,40,.40,67.000,.24,.38,.48, 
187,2,1,1,Riccardo Bonadio,1,29,301,31,78.0,180,0,0,132711,,,,,,,,,,,,,,,,,,, 
188,2,1,1,Mikhail Kukushkin,3,35,300,22,72.0,183,1,10,274793,15,6,.65,.61,.56,73,.66,97.000,.74,.60,.24,.43,30,.37,100.000,.11,.31,.46, 
189,2,1,1,Adrian Andreev,1,21,296,24,66.0,180,0,0,38651,,,,,,,,,,,,,,,,,,, 
190,2,1,1,Santiago Rodriguez Taverna,3,23,291,26,82.0,191,0,1,147552,9,7,.62,.71,.39,17,.59,25.000,.72,.59,.31,.47,9,.78,25.000,.28,.35,.47, 
191,2,1,1,Facundo Diaz Acosta,0,22,291,20,75.0,183,0,0,69548,,,,,,,,,,,,,,,,,,, 
192,2,1,1,Juncheng Shang,3,17,289,22,73.0,180,0,3,89132,5,11,.68,.62,.43,30,.60,35.000,.66,.56,.28,.52,16,.38,37.000,.16,.35,.45, 
193,2,1,1,Sebastian Ofner,3,26,288,18,81.0,191,1,2,177893,12,9,.55,.72,.41,36,.64,42.000,.69,.58,.26,.46,19,.37,43.000,.16,.34,.46, 
194,2,1,1,Raul Brancaccio,1,25,287,24,73.0,185,0,0,84875,,,,,,,,,,,,,,,,,,, 
195,2,1,1,Nicolas Kicker,3,30,282,23,75.0,178,0,1,127655,1,3,.72,.65,.43,10,.60,15.000,.73,.59,.32,.49,7,.43,14.000,.21,.39,.49, 
196,2,1,1,Dimitar Kuzmanov,3,29,282,24,77.0,183,2,1,184441,4,3,.55,.70,.41,7,.57,11.000,.73,.57,.34,.48,6,.33,11.000,.18,.40,.48, 
197,2,1,1,Kaichi Uchida,3,28,282,32,74.0,180,1,3,111395,18,11,.53,.69,.54,26,.65,44.000,.80,.62,.22,.53,17,.24,43.000,.09,.33,.47, 
198,2,1,1,Stefan Kozlov,3,24,280,24,79.0,183,4,8,373055,19,57,.72,.61,.43,136,.62,144.000,.64,.56,.29,.49,88,.32,142.000,.20,.36,.47, 
199,2,1,1,Dominik Koepfer,3,28,279,14,79.0,180,3,9,298651,38,47,.66,.64,.53,120,.59,162.000,.70,.60,.25,.52,84,.42,168.000,.21,.36,.48, 
200,2,1,1,Francesco Maestrelli,3,20,279,23,78.0,196,0,1,81301,9,1,.72,.66,.47,8,.50,12.000,.67,.61,.30,.33,4,.25,13.000,.08,.31,.45, 
201,3,1,1,Frederico Ferreira Silva,1,27,275,24,74.0,178,0,0,68806,,,,,,,,,,,,,,,,,,, 
202,3,1,1,Nick Hardt,0,22,271,24,84.0,183,2,1,36672,,,,,,,,,,,,,,,,,,, 
203,3,1,1,Cedrik-Marcel Stebe,3,32,270,22,70.0,180,1,1,111068,22,6,.60,.82,.46,8,.63,27.000,.89,.67,.22,.55,8,.38,27.000,.11,.32,.50, 
204,3,1,1,Laurent Lokoli,0,28,269,25,78.0,188,0,0,74585,,,,,,,,,,,,,,,,,,, 
205,3,1,1,Antoine Escoffier,1,30,268,29,78.0,185,0,0,90502,,,,,,,,,,,,,,,,,,, 
206,3,1,1,Luciano Darderi,1,20,266,24,82.0,183,0,0,52501,,,,,,,,,,,,,,,,,,, 
207,3,1,1,Alexis Galarneau,3,23,265,24,79.0,180,0,2,53000,6,6,.60,.78,.41,6,.50,11.000,.73,.63,.19,.44,1,1.00,11.000,.09,.26,.46, 
208,3,1,1,Rio Noguchi,3,23,265,25,63.0,168,1,1,57669,1,5,.70,.69,.44,13,.54,23.000,.74,.62,.18,.50,6,.33,24.000,.08,.31,.46, 
209,3,1,1,Evan Furness,3,24,265,26,66.0,173,0,1,88419,2,6,.54,.72,.44,10,.50,17.000,.71,.59,.22,.64,6,.83,17.000,.29,.35,.49, 
210,3,1,1,Li Tu,1,26,264,25,83.0,180,0,0,63334,,,,,,,,,,,,,,,,,,, 
211,3,1,1,Matheus Pucinelli De Almeida,3,21,263,24,78.0,183,1,1,107578,3,2,.76,.58,.38,14,.43,17.000,.53,.53,.27,.64,11,.45,17.000,.29,.44,.48, 
212,3,1,1,Gianluca Mager,3,28,262,25,77.0,188,2,4,181345,57,24,.59,.76,.47,35,.54,80.000,.80,.65,.21,.37,19,.42,83.000,.10,.27,.46, 
213,3,1,1,Andrea Vavassori,3,27,262,18,80.0,191,0,1,161659,7,10,.53,.75,.45,10,.60,15.000,.73,.61,.13,.32,4,.25,15.000,.07,.19,.43, 
214,3,1,1,Mitchell Krueger,3,28,258,24,82.0,188,4,6,179632,35,17,.67,.72,.52,51,.63,99.000,.81,.65,.27,.43,41,.41,103.000,.17,.33,.49, 
215,3,1,1,Nicolas Moreno De Alboran,0,25,257,20,82.0,185,0,0,70780,,,,,,,,,,,,,,,,,,, 
216,3,1,1,Lukas Rosol,3,37,256,28,83.0,193,0,2,100577,12,7,.71,.72,.38,19,.47,34.000,.71,.62,.22,.47,10,.50,34.000,.15,.33,.47, 
217,3,1,1,Brandon Holt,3,24,255,24,82.0,185,1,2,162607,34,8,.63,.69,.51,33,.67,61.000,.82,.62,.30,.51,32,.47,61.000,.25,.39,.51, 
218,3,1,1,Kimmer Coppejans,1,28,254,26,68.0,180,0,0,52246,,,,,,,,,,,,,,,,,,, 
219,3,1,1,Paul Jubb,3,23,253,25,72.0,180,0,2,173091,8,13,.61,.71,.50,14,.29,41.000,.76,.63,.28,.46,27,.19,40.000,.13,.34,.48, 
220,3,1,1,Max Purcell,3,24,252,19,80.0,185,2,6,243158,57,12,.63,.67,.41,69,.58,92.000,.68,.58,.27,.48,60,.32,95.000,.20,.35,.46, 
221,3,1,1,Yu Hsiou Hsu,0,23,250,29,70.0,178,0,0,35158,,,,,,,,,,,,,,,,,,, 
222,3,1,1,Dalibor Svrcina,1,20,249,22,68.0,178,0,0,111313,,,,,,,,,,,,,,,,,,, 
223,3,1,1,Marco Trungelliti,3,32,247,15,80.0,178,0,2,158782,16,6,.63,.71,.44,17,.53,33.000,.76,.61,.22,.52,14,.36,34.000,.15,.34,.48, 
224,3,1,1,Genaro Alberto Olivieri,1,24,246,28,73.0,175,2,1,191281,,,,,,,,,,,,,,,,,,, 
225,3,1,1,Thiago Agustin Tirante,0,21,244,27,81.0,185,0,0,134715,,,,,,,,,,,,,,,,,,, 
226,3,1,1,Ernesto Escobedo,3,26,243,25,82.0,185,0,2,183729,5,9,.66,.65,.48,19,.53,28.000,.68,.59,.19,.56,16,.19,27.000,.11,.34,.46, 
227,3,1,1,Gabriel Diallo,0,21,242,11,90.0,203,0,1,36225,,,,,,,,,,,,,,,,,,, 
228,3,1,1,Omar Jasika,1,25,242,27,60.0,183,0,0,33766,,,,,,,,,,,,,,,,,,, 
229,3,1,1,Nicholas David Ionel,0,20,240,34,73.0,185,1,1,43117,,,,,,,,,,,,,,,,,,, 
230,3,1,1,Tomas Barrios Vera,3,25,239,14,88.0,191,0,1,139493,5,1,.74,.60,.38,12,.58,13.000,.62,.54,.13,.30,1,.00,13.000,.00,.19,.39, 
231,3,1,1,Nikola Milojevic,3,27,239,26,76.0,188,1,2,168909,7,9,.64,.64,.52,27,.52,41.000,.68,.60,.24,.54,20,.45,41.000,.22,.35,.48, 
232,3,1,1,Gastao Elias,0,32,239,25,76.0,180,1,0,139560,,,,,,,,,,,,,,,,,,, 
233,3,1,1,Miljan Zekic,1,34,239,27,79.0,185,0,0,47808,,,,,,,,,,,,,,,,,,, 
234,3,1,1,Nino Serdarusic,0,26,238,28,85.0,191,0,0,119490,,,,,,,,,,,,,,,,,,, 
235,3,1,1,Peter Gojowczyk,3,33,236,19,83.0,188,3,14,425897,66,76,.52,.66,.46,139,.54,179.000,.64,.56,.25,.47,65,.37,182.000,.13,.33,.45, 
236,3,1,1,Altug Celikbilek,3,26,236,26,73.0,183,3,2,141060,12,2,.73,.74,.52,9,.67,18.000,.83,.68,.24,.52,8,.50,18.000,.22,.33,.51, 
237,3,1,1,Lloyd Harris,3,25,230,14,80.0,193,7,14,464529,165,22,.64,.72,.48,118,.64,221.000,.81,.64,.24,.44,71,.37,226.000,.12,.32,.48, 
238,3,1,1,Skander Mansouri,0,27,230,37,86.0,193,1,1,12432,,,,,,,,,,,,,,,,,,, 
239,3,1,1,Roman Andres Burruchaga,1,20,229,30,80.0,183,0,0,31077,,,,,,,,,,,,,,,,,,, 
240,3,1,1,Jay Clarke,3,24,226,22,83.0,183,0,3,150813,18,9,.57,.64,.51,26,.62,33.000,.70,.58,.23,.35,5,.40,35.000,.06,.27,.44, 
241,3,1,1,Nerman Fatic,0,28,226,26,88.0,191,1,0,35153,,,,,,,,,,,,,,,,,,, 
242,3,1,1,Ivan Gakhov,3,26,224,31,83.0,191,0,1,31928,6,5,.57,.73,.50,8,.63,16.000,.81,.63,.27,.43,10,.00,15.000,.00,.32,.48, 
243,3,1,1,Mariano Navone,1,21,222,22,73.0,175,0,0,26926,,,,,,,,,,,,,,,,,,, 
244,3,1,1,Nam Hoang Ly,0,25,221,22,69.0,175,0,1,30381,,,,,,,,,,,,,,,,,,, 
245,3,1,1,Kacper Zuk,3,23,220,25,77.0,183,0,2,83348,2,3,.67,.63,.48,11,.73,10.000,.70,.58,.07,.47,6,.17,10.000,.10,.29,.45, 
246,3,1,1,Andrea Collarini,1,30,220,27,78.0,183,0,0,96846,,,,,,,,,,,,,,,,,,, 
247,3,1,1,Zdenek Kolar,3,26,218,30,79.0,183,1,2,230404,15,19,.67,.70,.43,31,.61,55.000,.78,.61,.27,.40,15,.53,56.000,.14,.32,.48, 
248,3,1,1,Jan Choinski,0,26,218,23,88.0,196,0,0,26530,,,,,,,,,,,,,,,,,,, 
249,3,1,1,Dane Sweeny,1,21,217,31,63.0,170,0,0,61451,,,,,,,,,,,,,,,,,,, 
250,3,1,1,Matteo Gigante,1,20,214,21,68.0,180,0,0,27393,,,,,,,,,,,,,,,,,,, 
251,3,1,1,Arthur Fils,3,18,213,23,83.0,185,0,1,59443,10,6,.58,.73,.40,15,.73,16.000,.75,.59,.29,.41,6,.33,16.000,.13,.34,.47, 
252,3,1,1,Seong-chan Hong,3,25,212,17,65.0,175,0,4,38698,4,4,.45,.70,.42,7,.57,9.000,.67,.55,.15,.30,3,.00,9.000,.00,.22,.41, 
253,3,1,1,Juan Bautista Torres,1,20,212,25,73.0,178,0,0,47051,,,,,,,,,,,,,,,,,,, 
254,3,1,1,Michael Geerts,3,27,212,33,72.0,178,0,0,11387,1,2,.55,.57,.37,5,.20,8.000,.50,.48,.14,.57,0,.00,8.000,.00,.21,.35, 
255,3,1,1,Hamad Medjedovic,3,19,211,24,86.0,188,0,2,52459,5,5,.67,.64,.46,10,.20,21.000,.62,.58,.24,.46,5,.80,22.000,.18,.33,.45, 
256,3,1,1,Harold Mayot,1,20,211,31,78.0,178,0,0,50551,,,,,,,,,,,,,,,,,,, 
257,3,1,1,Hernan Casanova,3,28,208,25,76.0,178,0,1,8311,1,2,.61,.64,.44,10,.70,9.000,.67,.57,.06,.58,1,.00,9.000,.00,.26,.44, 
258,3,1,1,Robin Haase,3,35,207,23,77.0,191,1,1,61742,6,3,.59,.75,.25,14,.79,8.000,.63,.54,.04,.41,0,.00,9.000,.00,.18,.40, 
259,3,1,1,Nicolas Mejia,0,22,207,31,79.0,183,1,2,35501,,,,,,,,,,,,,,,,,,, 
260,3,1,1,Daniel Michalski,0,22,204,26,77.0,180,0,0,28458,,,,,,,,,,,,,,,,,,, 
261,3,1,1,Gonzalo Lama,3,29,202,29,82.0,180,0,1,52811,1,2,.59,.79,.45,3,.33,9.000,.78,.65,.23,.23,2,.00,10.000,.00,.23,.43, 
262,3,1,1,Alessandro Giannessi,3,32,201,23,82.0,185,0,1,149392,10,9,.67,.64,.57,30,.77,28.000,.75,.62,.30,.51,16,.31,28.000,.18,.38,.50, 
263,3,1,1,Jonas Forejtek,1,21,200,20,75.0,183,0,0,58937,,,,,,,,,,,,,,,,,,, 
264,3,1,1,Sho Shimabukuro,3,25,199,21,78.0,180,0,0,39030,6,2,.61,.76,.31,5,.60,10.000,.80,.58,.26,.33,2,.00,10.000,.00,.28,.43, 
265,3,1,1,Tennys Sandgren,3,31,198,22,88.0,188,0,3,77517,9,13,.55,.74,.41,18,.50,30.000,.70,.59,.18,.48,9,.11,29.000,.03,.29,.44, 
266,3,1,1,Alastair Gray,3,24,198,26,83.0,193,1,1,135112,11,8,.63,.75,.45,19,.74,29.000,.83,.64,.28,.51,17,.35,31.000,.19,.36,.50, 
267,3,1,1,Nikolas Sanchez Izquierdo,1,23,196,25,77.0,185,0,0,32619,,,,,,,,,,,,,,,,,,, 
268,3,1,1,Oriol Roca Batalla,0,29,195,24,75.0,175,0,0,10278,,,,,,,,,,,,,,,,,,, 
269,3,1,1,Pablo Cuevas,3,36,193,12,78.0,180,4,7,162770,35,15,.67,.68,.55,59,.61,110.000,.79,.63,.28,.52,53,.45,109.000,.22,.36,.50, 
270,3,1,1,Hiroki Moriya,3,32,191,26,65.0,168,1,2,84178,4,4,.70,.62,.50,27,.67,30.000,.70,.58,.33,.50,23,.39,31.000,.29,.40,.49, 
271,3,1,1,Francisco Comesana,1,22,190,20,72.0,178,0,0,36252,,,,,,,,,,,,,,,,,,, 
272,3,1,1,Steven Diez,3,31,190,23,110.0,175,0,3,35876,0,1,.68,.55,.55,9,.67,8.000,.63,.55,.15,.31,1,.00,9.000,.00,.20,.40, 
273,3,1,1,Aziz Dougaz,0,25,190,29,82.0,188,0,1,47005,,,,,,,,,,,,,,,,,,, 
274,3,1,1,Maximilian Neuchrist,1,31,189,22,,,0,0,11428,,,,,,,,,,,,,,,,,,, 
275,3,1,1,Mate Valkusz,1,24,188,13,75.0,183,0,0,35061,,,,,,,,,,,,,,,,,,, 
276,3,1,1,Juan Ignacio Londero,3,29,186,8,70.0,180,4,5,123954,29,22,.62,.68,.46,64,.53,99.000,.70,.60,.30,.48,31,.65,96.000,.21,.36,.49, 
277,3,1,1,Bu Yunchaokete,0,20,186,33,82.0,185,0,1,30764,,,,,,,,,,,,,,,,,,, 
278,3,1,1,Egor Gerasimov,3,30,185,12,86.0,196,4,8,199014,63,36,.65,.70,.45,86,.52,153.000,.73,.61,.28,.50,79,.37,150.000,.19,.36,.49, 
279,3,1,1,Timo Stodder,1,26,185,26,73.0,180,0,0,29284,,,,,,,,,,,,,,,,,,, 
280,3,1,1,Raphael Collignon,1,20,184,24,86.0,191,0,0,28157,,,,,,,,,,,,,,,,,,, 
281,3,1,1,Lorenzo Giustino,0,31,184,31,80.0,180,0,0,87154,,,,,,,,,,,,,,,,,,, 
282,3,1,1,Marek Gengel,1,27,183,24,80.0,185,0,0,10402,,,,,,,,,,,,,,,,,,, 
283,3,1,1,Lucas Gerch,1,28,183,27,86.0,193,0,0,25837,,,,,,,,,,,,,,,,,,, 
284,3,1,1,Nicolas Alvarez Varona,3,21,181,29,83.0,188,0,0,5688,17,17,.64,.69,.32,26,.54,33.000,.64,.56,.32,.56,19,.53,31.000,.32,.42,.49, 
285,3,1,1,Dan Added,1,23,181,29,75.0,183,1,1,15953,,,,,,,,,,,,,,,,,,, 
286,3,1,1,Titouan Droguet,1,21,180,26,80.0,191,0,0,31210,,,,,,,,,,,,,,,,,,, 
287,3,1,1,Joao Domingues,1,29,179,26,70.0,,0,0,41978,,,,,,,,,,,,,,,,,,, 
288,3,1,1,Jesper de Jong,3,22,179,26,70.0,180,0,2,143738,12,7,.65,.63,.50,19,.74,19.000,.74,.59,.24,.44,9,.22,21.000,.10,.30,.45, 
289,3,1,1,Daniel Masur,1,28,178,22,78.0,183,0,0,165770,,,,,,,,,,,,,,,,,,, 
290,3,1,1,Valentin Vacherot,0,24,178,23,83.0,193,2,1,31536,,,,,,,,,,,,,,,,,,, 
291,3,1,1,Evan Zhu,1,24,178,28,75.0,185,0,0,25119,,,,,,,,,,,,,,,,,,, 
292,3,1,1,Denis Yevseyev,1,29,177,26,81.0,185,0,0,30280,,,,,,,,,,,,,,,,,,, 
293,3,1,1,Pol Martin Tiffon,1,23,176,21,73.0,183,0,0,27784,,,,,,,,,,,,,,,,,,, 
294,3,1,1,Salvatore Caruso,3,30,175,20,80.0,185,0,1,171032,3,5,.49,.61,.29,15,.47,13.000,.38,.45,.28,.42,3,.67,12.000,.17,.33,.39, 
295,3,1,1,Ugo Blanchet,1,23,175,23,68.0,175,0,0,32271,,,,,,,,,,,,,,,,,,, 
296,3,1,1,Lukas Neumayer,1,20,175,25,70.0,183,0,0,36802,,,,,,,,,,,,,,,,,,, 
297,3,1,1,Alexandar Lazarov,3,25,173,20,84.0,191,3,1,27973,15,4,.66,.70,.53,9,.56,27.000,.85,.64,.27,.45,13,.31,26.000,.15,.33,.49, 
298,3,1,1,Javier Barranco Cosano,1,24,173,21,70.0,178,0,0,49812,,,,,,,,,,,,,,,,,,, 
299,3,1,1,Terence Atmane,1,20,173,33,80.0,193,0,0,29639,,,,,,,,,,,,,,,,,,, 
300,3,1,1,Daniel Dutra da Silva,3,34,172,32,75.0,173,0,0,7826,3,6,.48,.61,.55,9,.67,10.000,.70,.58,.18,.41,5,.20,10.000,.10,.29,.45, 
301,4,2,1,Zachary Svajda,3,20,171,18,66.0,175,0,1,63381,0,0,.72,.60,.56,7,.43,12.000,.67,.59,.27,.42,7,.43,12.000,.25,.32,.47, 
302,4,2,1,Mats Moraing,1,30,170,21,84.0,198,0,0,126775,,,,,,,,,,,,,,,,,,, 
303,4,2,1,Benjamin Hassan,0,27,170,21,85.0,183,2,2,24906,,,,,,,,,,,,,,,,,,, 
304,4,2,1,Filip Cristian Jianu,0,21,167,31,78.0,180,0,0,30197,,,,,,,,,,,,,,,,,,, 
305,4,2,1,Pierre-Hugues Herbert,3,31,166,13,75.0,188,2,3,65912,26,16,.60,.73,.49,32,.56,55.000,.75,.63,.30,.42,23,.39,55.000,.16,.35,.49, 
306,4,2,1,Roberto Quiroz,0,30,166,28,88.0,193,0,3,25491,,,,,,,,,,,,,,,,,,, 
307,4,2,1,Ernests Gulbis,0,34,165,16,85.0,191,2,0,46729,,,,,,,,,,,,,,,,,,, 
308,4,2,1,Beibit Zhukayev,3,22,165,25,92.0,196,0,1,38582,3,3,.59,.45,.35,14,.57,7.000,.14,.41,.10,.56,1,1.00,7.000,.14,.30,.37, 
309,4,2,1,Louis Wessels,0,24,165,30,90.0,198,0,0,35171,,,,,,,,,,,,,,,,,,, 
310,4,2,1,Stefano Travaglia,3,30,164,22,80.0,185,3,6,190587,51,23,.58,.68,.51,58,.53,109.000,.75,.61,.26,.45,39,.36,104.000,.13,.33,.47, 
311,4,2,1,Gonzalo Villanueva,3,27,164,30,70.0,175,0,0,6171,3,3,.63,.64,.54,3,.33,11.000,.82,.60,.13,.49,8,.13,11.000,.09,.30,.45, 
312,4,2,1,Gian Marco Moroni,3,24,162,23,81.0,185,0,2,99433,7,8,.69,.62,.49,18,.56,25.000,.68,.58,.25,.47,9,.44,24.000,.17,.34,.47, 
313,4,2,1,Evgeny Karlovskiy,1,28,162,25,86.0,191,0,0,58134,,,,,,,,,,,,,,,,,,, 
314,4,2,1,Alejandro Moro Canas,1,22,161,18,78.0,183,0,0,35930,,,,,,,,,,,,,,,,,,, 
315,4,2,1,Joao Lucas Reis Da Silva,1,22,161,22,75.0,178,0,0,21091,,,,,,,,,,,,,,,,,,, 
316,4,2,1,Bjorn Fratangelo,3,29,160,12,79.0,183,0,1,153378,2,1,.59,.67,.36,10,.50,13.000,.62,.55,.20,.39,2,.00,13.000,.00,.27,.42, 
317,4,2,1,Thomas Fabbiano,3,33,159,18,70.0,173,0,1,114458,0,2,.70,.62,.40,7,.43,10.000,.60,.55,.26,.45,3,.67,10.000,.20,.33,.45, 
318,4,2,1,Ulises Blanch,1,24,159,22,78.0,188,0,0,52756,,,,,,,,,,,,,,,,,,, 
319,4,2,1,Shintaro Mochizuki,3,19,159,25,70.0,,0,4,55087,3,13,.53,.60,.43,30,.57,31.000,.58,.52,.25,.51,16,.38,33.000,.18,.36,.44, 
